предложить дт| предложить  Вам
осваивать вн| осваивать новую машину в темноте
выходить рд| ворота выходят на Лондонское шоссе
навалиться тв| всем телом  навалился  на  него
покрыться тв| покрылся холодным потом
держаться рд| держаться до конца
оставаться рд| Оставались  ворота  гаража
находиться рд| Ворота  находились
крутануть рд| изо  всех сил крутанул
тенить рд| тени  могучих дубов
двигаться рд| малейшего  желания двигаться
заметить вн| заметил  кучку  людей
проложен дт| проложена  авеню  Баграм
занимать вн| всю его заднюю часть  занимает
поместить вн| в  этой  комнате,  Дакр  поместил свою замечательную библиотеку  оккультной  литературы
потратить вн| потратил значительную часть своей  жизни
иметь вн| имели   сходную  направленность
искриться тв| искрились умом
сблизить рд| интересов сблизила
служить тв| служившей библиотекой и музеем
окидывать тв| окидывая взглядом  полки
гореть рд| горящего камина
окаймлён тв| окаймлена ободками
целовать вн| целую кварту
кромсать тв| кромсал его тупым ножом
заполнен тв| с геммами сплошь заполнена томами и  томами
выйти тв| Из  астролога  вышел  астроном
украшен тв| в  этом  старинном  доме украшена гербом  в  виде  щита  с  шевронами  и  красными
стереть тв| почти  стертые временем
напоминать вн| напоминала большую букву "Б"
пометить тв| пометил ее чужими инициалами
носить вн| носить такую корону
получать вн| не  раз  получал  важную  информацию
интересовать дт| кладу  интересующий
сохранять вн| сохраняет  определенную  атмосферу  или  ассоциацию
пожалеть рд| пожалел усилий
разделить вн| разделить  судьбу
составлять вн| молодого  американца, чьи аскетические привычки составляли
окружить тв| окружить  ее  всей роскошью
считать рд| считать  подобных своеобразных черточек характера
слышаться рд| слышалось звука шагов
обставлен пр| обставлена в одном вкусе
напугать тв| напуганный внезапной угрозой
поражать тв| все поражало глаз своей роскошью
счесть тв| сочли необъяснимой причудой
выказать тв| выказал  таким  способом
рассказывать вн| рассказываю эту историю
оказать дт| оказал  моему  индийскому дядюшке
назвать вн| наверняка назовете эту историю
рассказать пр| долгом ее рассказать
почитать тв| просто почитаю своим долгом ее
открыть вн| потом  открыл  частную практику в Бомбее
открыть тв| потом  открыл
изъездить дт| в качестве консультанта изъездил Индию  вдоль  и  поперек
изъездить вн| в качестве консультанта изъездил Индию  вдоль  и  поперек
проявлять рд| проявляя  чрезмерного радушия
нанести дт| нанести  ему
гаснуть пр1| гаснущем  свете  осеннего  дня
поражён тв| поражен  странной  таинственностью  пейзажа
увенчан тв| увенчаны мощнейшими бастионами
покоиться пр| сосуде покоится
облупить пр| облупленных   столбах
искалечить тв| искалеченными  геральдическими  щитами
сыпаться тв| дождем  сыпались
гореть тв| ровно горел желтым светом
свешиваться тв| низко  свешивающимся  карнизом
теплиться тв| от  невысокого  крыльца приветливо теплилось светом
прорезать рд| прорезающие щеки от глаз  до подбородка
мыть рд| При  моем
моем рд| При  моем
внести вн| Внесли лампу
выступать тв| выступающими костями
поставить дт| поставил ему
отравлен тв| отравлена страхом
уставлен тв| уставлен  пряными экзотическими деликатесами
гордиться рд| гордится  им
гордиться тв| гордится  им
гордиться дт| гордится  им
взволновать вн| взволновала хозяина и хозяйку
признаться рд| признался им
признаться тв| признался им
признаться дт| признался им
наблюдать вн| наблюдает  блуждающую  комету
поразить вн| Свитина,  Англию поразило
рассказать тв| рассказанная самим Шерлоком Холмсом           aka "Человек с белым лицом"
грешить тв| грешат   некоторой  ограниченностью
установить тв| установленный поклонниками таланта Артура Конан  Дойля
читать рд| мир  читает
выпустить вн| вдвоем  выпустили  книгу  "Подвиги Шерлока Холмса"
раскрыть тв| уже раскрытых  Шерлоком  Холмсом
следовать дт| следовать  стилю  Артура-Конан  Дойля
нокаутировать вн| К  удивлению  зрителей, Холмс нокаутировал Задиру
навязать дт| навязать  ему
вывихнуть вн| вывихнул ногу
передать вн| передал телеграмму
прочитать рд| прочитанных газет
запачкать тв| при  этом  запачкали ляписом
перебинтовать вн| перебинтовал  его  ногу
заканчиваться тв| заканчивалось размышлением в кресле
расследовать рд| нечего расследовать
заменить вн| заменив  подлинную картину Леонардо  да  Винчи
увлекаться тв| увлекается боксом
приходиться дт| ему приходится
бросить тв| брошенный  Холмсом
вынуть вн| вынул  золотую  табакерку  с  большим аметистом в середине крышки
подаренный дт| подаренную ему
знать рд| знали этого
нарушать вн| Тишину нарушало
работать тв| работает  ночным  сторожем  в  музее  восковых фигур мадам Топин
расстроить тв| Явно расстроенная упорством своего  дедушки
заслужить тв| заслуженной известностью
пожертвовать тв| пожертвует жизнью
закурить вн| закурить сигару
сохранить зв| Боже сохрани
снять вн| снял  взятку
снять дт| снял  взятку
мерцать тв| смутно  мерцали  тусклым светом сквозь  густые и
изливаться пр| этаже изливался
отмечать вн| отмечало холостяцкую квартиру  Френсиса  Перикорда
покоить пр| покоя энергии  и  трудолюбии
дополняться тв| дополнялся практической сметкой
уставить тв| уставленный большими  бутылями  для  кислоты
стоять рд1| Посреди всего этого  хлама  стояла  необычного  вида
вращаться рд1| необычного  вида  вращающаяся  с  ревом
подсоединён тв| подсоединена  множеством  проводов  к  широкому  стальному  фланцу,  или  поясу
метать тв| короткими  кулисами метали
висеть рд| озона  висел  в  воздухе
вытянуть вн| вытянул  вперед  тонкую  жилистую  руку
прикладывать рд| прикладывать  усилий
простираться дт| простираются к более возвышенным целям
мыть вн| мою  долю
увезти вн| увезти машину в деревню
сказать рд| сказал  механик
подкатить вн| минут  первого  его  кеб  подкатил к станции Виктория
снять тв| Снятые кебменом
вверен дт| вверены заботам кондуктора  багажного вагона
размахивать тв| размахивая  руками
выбелить тв| выбеленное  известкой
спускаться рд| спускавшейся с  гребня меловых гор
высадить вн| высадил небольшую  рощу
подходить дт| подходило  их  целям
возвестить рд| колес  возвестил
перерезать вн| перерезал  бечевку
зажечь вн| Зажгли лампу
предполагать вн| предполагаемую   мумию
прочить вн| прочили большую  карьеру
выбран тв| выбран хранителем музея на  Белмор-стрит
представлять дт| прежнему представляет
содержать вн| содержал музейную коллекцию
доверить дт| доверенную его заботам
расходовать вн| просто грешно  расходовать  пеньку
расходовать дт| просто грешно  расходовать  пеньку
умирать тв| умирать старомодным  способом
смотреть вн| в  клинику  смотреть  операцию
уклоняться рд| смысла  уклоняться
валить тв| валом валили вниз по улице
окончить вн| окончившие  школу
вырываться тв| вырывались сплошным шумным потоком из  ворот  университета
стучать тв| стуча  тростями  о  мостовую
перенумеровать тв| перенумерованными  дверями
застелить тв| застеленных  белыми  покрывалами
сидеть тв| сидевшая рядом
испещрить тв| испещренной странными маленькими белесыми волдырями
оценить вн| оценить их красоту
изогнуть тв| изогнутые  дугой
выложен тв| рядком  были  выложены
ведать тв| ведает инструментами
ввести рд| сестры  ввели  в  аудиторию
поддерживать вн| поддерживая женщину за талию
обнаружить тв| своим удивительным чутьем обнаружили
прорубить вн| прорубили горизонтальную штольню
зарасти тв| густо заросла кустарником
пересекать рд| пересекает  несколько  глубоких впадин
бежать рд| по которым бежит вода
запастись тв| запастись  свечами
найти вн| найти обратную дорогу к дневному свету
открыт дт| открыт всем ветрам
крыть тв| крытые шифером
омываться тв| омываются водами Ирландского моря
удовлетвориться тв| удовлетвориться  бесцветным  прозябанием  в  Западном   Райдинге
посвятить дт| посвятил  изучению
применять рд| высоких  знаний применяли в своих  трудах, желая скрыть драгоценные  истины от злых и  грубых  людей
начертать тв| начертанных  неизвестным народом на отвесных  скалах Южного Туркестана
поглотить тв| Поглощенный этими
очертить дт| гордо  и четко очерченному  лицу  моей  соседки
испачкать дт| испачканному платью
приложить рд| приложу  ума
интересоваться тв| интересуясь  моими  условиями
мыслить тв| ясностью и  четкостью мысли
переключить вн| переключил всю энергию на химию
обеспечить дт| о спектре металлов обеспечил ему
захвачен тв| захвачен египтологией
потребовать рд| потребовавшему срочных поездок в Лувр
предпринят тв| предпринята им
предпринят дт| предпринята им
заняться тв| заняться  делом
напоминать тв| напоминал своей формой
соответствовать дт| соответствовали его энергичному характеру и  проницательному  уму
возражать дт| возражал собеседнику
кивать тв| кивал ею
услышать тв| услышал  за  спиной
произнести вн| громко  произнесенную  фразу  на  английском языке
подчеркнуть пр| подчеркнутом пренебрежении к своему
кипеть тв| кипело   горечью   и   негодованием
уничтожить тв| едкими  замечаниями уничтожить
приключаться тв| приключаются  порой
образовать вн| образуя  Молвернскую  гряду
похоронить вн| похоронил жену
источать тв| источаемый штукатуркой обветшалого здания
вырезать тв| вырезали перочинным ножом
сутулиться рд| Спина  его  сутулилась  от  долгих ученых занятий
веять тв| холодом веяло в  его  присутствии
побаиваться рд| немного побаивались этого
нависнуть тв| нависшими  лохматыми бровями
попадаться дт| попадаться ему
управлять тв| управляющий имением
рисковать тв| рискуя собственной жизнью
нырнуть тв| нырнуть следом
заверить дт| заверив  его,  что теперь его мальчику
нахмурить тв| нахмуренным неподвижным лицом
увить тв| увитым плющом, и самой простой обстановкой
перетянуть тв| перетянутые тесемкой
окружён тв| окружена такой тайной
пересказать дт| пересказал вам
посвятить вн| посвятила всю  жизнь
выпить вн| сейчас выпить каплю  спиртного
отведать дт| тигру отведать
удерживать рд| удерживает его до сих пор
тереть дт| три  года  тому
вести вн| вести нескончаемую борьбу
идти тв| идущую коридором
принять вн| приняла  телесную форму
вцепиться дт| при  малейшей  его  неосторожности вцепиться ему
представляться дт| представлялась моему мысленному взору
составить дт| составить ему
обнаружен тв| обнаружен  утром  своим
просунуть вн| просунутыми в одну штанину
корениться рд| сложной  натуры  коренилась
охватить тв| потом его  внезапно охватила
любить вн| любила новизну
слыть тв| слыл страстным садоводом
предложить вн| предложил руку,  титул и треть
опостылеть тв| сценой  опостылело
блеснуть тв| вновь  блеснуть талантом
положить тв| положило им
положить рд| положило им
положить дт| положило им
зажечь рд| зажженного  камина  в своем  кабинете
любоваться тв| глазами  знатока   любовался
деть вн| день  операцию
подать вн| подать карету
сгорбить тв| сгорбленного годами и недугами
располагать тв| располагаем  подробным  и  ясным  рассказом
прославить пр| столь прославленном средоточии
связан тв| связаны  между  собой
плющить тв| ветвями  плюща
выщерблен тв| выщерблены  ногами  бесчисленных поколений искателей знаний
стереться рд| старого  кладбища  стершаяся
цениться тв| в  башне  очень  ценились  наиболее   усердными
покуривать вн| покуривая  трубку
уделять дт| уделяя спорту
знаменовать вн| знаменует  вершину
попыхивать тв| попыхивая  трубкой,  Аберкромб  Смит
наблюдать рд| наблюдал  ничего
выколотить вн| выколотил трубку об решетку
знать тв| знал ее еще ребенком
случиться тв| случилось прошлой зимой
знать дт| знаешь  тропу вдоль речки
идти рд| Тропа  шла  между  речкой и громадной лужей
почесть вн| почти с реку
почтить вн| почти с реку
столкнуть вн| столкнул старушку в грязь
высказать дт| откровенно высказал ему
швырнуть вн| швырнул трубку в корзину для бумаг
украсить тв| украшенный  огромными цветными  схемами  таинственного  царства  наших  внутренностей
обещать дт| обещал ему
блестеть тв| блестящими способностями
отложить вн| отложил  книгу
гасить вн| уже гасил лампу
обратиться тв| обратившись мыслями к  соседу,  Смит
принимать тв| утром и вечером принимает
подышать тв| подышать свежим  воздухом
обретать вн| обретает  первозданную  привлекательность
наступать рд| наступающего  дня
пропитать тв| пропитанный дымом
обрамить тв| обрамленный  желтым  полумесяцем прибрежного песка
плыть тв| медленно  плывущими  облаками
залит тв| залито золотым светом
освещать пр1| освещая  на  дне
наполнен тв| наполнен  криками
очертить тв| красиво  очерченными губами
сделаться тв| сделались  непосильной  ношей
посоветовать дт| посоветовал вам
загнуть тв| загнутыми  краями
выбрить тв| с большим мясистым чисто  выбритым  лицом
фантазировать тв| фантазировал   таким  нелепым  образом
подсматривать рд| малейшего намерения подсматривать
написан тв| написано женской рукой
опустить тв| опущенными  уголками
портить вн| портила  правильную  линию
написать тв| опять  написанное  женским  почерком
трястись тв| Трясущимися  пальцами
заменить дт| заменившая  ему
сочинить вн| сочинил целую  историю  небритого  старика
отбрасывать тв| отбрасывал   тростью
заговорить тв| заговорил тихим голосом
приехать тв| приехала  самым ранним
наскучить дт| наскучил вам
посчастливиться дт| ему  посчастливилось
радоваться дт| радоваться  своему  счастью
протянуть дт| протянул  ему
сдержать вн| руку,  но  другое,  более  высокое  соображение  вежливости сдержало
подниматься тв| Уверенной  походкой  поднималась
согнуться рд| спина согнется
войти пр| том  "Сочинений" вошли
заключаться тв| этими  крайностями  заключалось
заставлять дт| собственным  убеждениям заставляла
истерзан тв| истерзан борьбою
рассечь вн| рассекший  надвое  каждую  деревню,  каждый  дом
литься тв| лились  рекою  с
осквернять вн| осквернял  религиозную  историю  мира
заражён тв| заражены учением Афанасия или Ария
утверждать пр| Ариане утверждали
возмущён тв| возмущен крайностями  в  гонениях  на  ариан
открыть дт| ему открыл
сбить пр| крепко  сбитом  человеке
пригласить тв| жестом пригласил
обставить вн| скромно  обставленную  приемную
обязан тв| обязан таким цветом  лица
понять дт| понять пациенту
постукивать тв| легонько  постукивая им
постукивать дт| легонько  постукивая им
прикрыть тв| прикрыв рот большой красной ладонью
прикрыть рд| прикрыв рот
доставлять дт| доставляете  врачам
делать дт| нам делать
причинять дт| причиняли доктору
припрятан рд| стола припрятаны
наметать тв| наметанным  глазом
разложить тв| образом  разложил  их
поставить рд| поставил несколько чернильных  клякс
заполнить вн| заполнил первую  страницу  в  каждой  книге
воображать пр| воображаемых визитах
нанести тв| нанес  безымянным  больным
уронить вн| уронил  голову на руки
начинать вн| едва  начинающего  карьеру
начинать дт| едва  начинающего  карьеру
иметь рд1| имеешь собственного дома
замечать дт| делам и едва ли замечал  маленькую  медную  табличку  на  ней
замечать вн| замечал  маленькую  медную  табличку
страдать тв| страдающие  дурным  пищеварением
шепнуть дт| шепнуть ему
окинуть тв| окинул взглядом
отпустить вн| чуть отпустив цепочку замка
прогнать рд| прогнать их с порога
повязан тв| повязана желтым шелковым платком
показать вн| показала  крохотную  темноволосую  черноглазую  девочку
слипаться тв| слипающимися со сна глазенками
сидеть рд| древнего  Рима  сидели  в  уютной  комнате Кеннеди, окна
тронуть тв| тронутые  дыханием
увешан тв| увешан старинными вещами
хотя дт| хотя  ему
давать дт| дает  ему
поддаваться дт| часто  поддавался соблазнам
отражать вн| все отражало силу
отражать дт| все отражало силу
понимать тв| любой  понимал
присудить дт| присудил  ему
прерывать рд| прерывал своих занятий
развиться дт| развиться другим  качествам  своей натуры
дышать тв| дышало жизнью
ощущать вн| слишком болезненно ощущал свою  ограниченность  в других областях
оценить тв| способными  оценить
очарован тв| очарован  блеском  и  живостью  ума
пожимать тв| пожимал плечами
преобладать пр| кружке  преобладало
глядеть дт| твердо глядя в  глаза  своему  приятелю
показать тв| показал рукой на  коврик
зажигать вн| пока Бергер медленно зажигал сигару
произвести вн| произведут  сенсацию
изучать вн| всю жизнь изучать
произойти тв| Джеймсом Винтером произошла при весьма  драматических  обстоятельствах
заглушать тв| с помощью женщин заглушал фланелевой  юбкой
сбить рд| сбил  с  носа
описывать вн| описывает мою  внешность
маячить рд| моего  безмятежного  существования  маячило
сработать тв| сработанные   деревенским   сапожником
склоняться рд| спина  его  столько  раз  склонялась  над  ложем
осуждать вн| гневно осуждал Роберта Пиля и  отмену
отдавать вн| юношу  отдавали в обучение к хирургу
штудировать вн| анатомию  штудировали
щёлкать тв| недоверчиво  щелкает  языком
выступать пр| на глазах  выступали
выступать рд| выступали слезы
лечить тв| очень модно  лечить  диетой
превосходить тв| превосходит  своими  познаниями
доверять дт| доверять собственным пальцам
избрать тв| избрали  его  президентом  местного отделения Ассоциации английских  медиков
выпускать вн| выпускают  руку  доктора
лечить вн| лечить  всю  округу
застроить тв| застроенных кирпичными  зданиями
доноситься рд| арсенала  доносился
падать рд1| грохота  падающих
закоптить тв| За  арсеналом  закопченные  дымом
расходиться тв| расходились лучами
давать вн| дававшее  работу
измучить тв| измученными дневным трудом
сказать вн| сказал  правду, миссис
постучать тв| постучал палкой
торжествовать тв| торжествующим видом
задать дт| задать  ему
спрашивать тв| спрашивающую  критическим взглядом
отвести дт| отведенный ему
звучать рд| этого высказывания звучала как
подлежать дт| подлежит  никакому сомнению
наставить пр| способном  наставить
разбавить тв| слегка разбавленный  немногочисленными достойными гражданами
хозяйничать тв| хозяйничал с небольшой  шайкой головорезов,  таких  же отпетых
добыть тв| Добытые обитателями
поручен рд| примитивного банка были поручены
поручен дт| поручены  доверенному  человеку  по  фамилии  Уобэрн
выполнять вн| старателей, которые по очереди выполняли
разоблачить вн| которую Холмс  разоблачил в молодежном пансионате
оказать вн| оказал  большую услугу Британской ассоциации гробовщиков в деле, подробности
наступить тв| наступил второй
ждать рд| давно ждал этого
пропахнуть тв| пропахла  химикатами
удушать тв| удушающим   чадом   его   любимого  пакистанского табака
разъярить дт| разъяренному  быку
приплюснуть тв| приплюснутым  носом
настораживать тв| настораживающей походкой
поднимать вн| поднимал кочергу
терпеть рд| терплю подобной болтовни
понадобиться дт| кому  понадобилось
командовать тв| Стивом Дикси командует непосредственно
решить дт| решили вам
являть тв| являли собой
оправдать вн| неубедительную попытку оправдать
отметить тв| отмеченной печатью истинно высокой
возрасти тв| возросшим интересом
довестись тв| Немногим  довелось
довестись дт| Немногим  довелось
помочь тв| Уотсоном рады помочь
назваться тв| назвавшийся агентом по торговле
назначить вн| назначила цену
зависеть рд| зависеть до конца моих дней
подготовить тв| подготовленным  договором
указать дт| указала  ему
забирать рд| забирать  ничего
попросить тв| Холмс жестом  попросил
пересечь вн| затем осторожно пересек комнату
поймать дт| пойманную им
поймать тв| пойманную им
вырывать тв| силой вырывают из родного курятника
прерывать вн| прерывать любопытную историю
удивить дт| удивленное  лицо  к  Холмсу
взбесить тв| взбешенной  женщиной
зарыть пр| зарытом кладе
требоваться тв| им  требуется
требоваться рд| им  требуется
требоваться дт| им  требуется
домогаться рд| так  домогаются  вашего  чайного  сервиза
выяснить тв| выяснить методом логического анализа
подождать рд| подождать дальнейшего развития событий
хлопнуть тв| хлопнувшей парадной дверью
провести вн| в  необходимости  провести  ночь-другую
потребоваться дт| вам потребуется
оставить тв| недвижимостью оставил
скрывать рд| скрывают адресов своих контор
взяться дт| Откуда взяться дорогим вещам при таком  небольшом  годовом доходе
опустить вн| опустить руку в карман
продолжать вн| продолжать беседу об истории господина Перкинса
принадлежать рд| Спенсера Джона, а Дикси принадлежит
поставлять вн| поставляемые  каждую  неделю
помогать дт| помогал знаменитому сыщику
подежурить тв| подежурить ночью на вилле
представиться тв| представившийся  адвокатом  Сатро
пренебречь тв| пренебрегла его опытом
исписан тв| исписана  рукой Дугласа
поступать дт| вам поступать так
научить дт| научил  этому
осматривать вн| осматривать бумагу
украсть вн| с намерением украсть подобную рукопись
найти рд| найдя ничего
начинаться тв| начиналась следующим образом:       "... по лицу текла кровь из ран от порезов и ударов. Но это не шло ни  в какое сравнение с  тем,  как  обливалось  кровью  его  сердце  при  виде  прекрасного лица, ради которого он готов  был  пожертвовать  даже  жизнью.  Женщина засмеялась. Да, можно было поклясться чем угодно, что  она  именно  смеялась, как безжалостный демон, в тот момент, когда он взглянул на  нее.  Мгновенно любовь умерла, и родилась ненависть. Ведь  мужчина  должен  жить  ради чего-то. Если не ради вашей взаимности, мадам, то уж  наверняка  ради  моей мести, несущей вам погибель"
обследовать вн| Обследуйте  палку
лежать тв| лежал плотным слоем
искажаться тв| искажалось гримасами
огласить тв| огласив звоном
провести тв| провел платком по лбу
расширять вн| расширять  клиентуру
ссужать тв| ссужаем крупными суммами
вернуть вн| вернут крупную сумму денег
погасить вн| погашу  вашу ссуду с уплатой
принять рд| принял меры деловой предосторожности
оставить вн| оставить диадему
поднять тв| колебанием  поднял глаза на своего именитого посетителя
моем пр1| моем  письменном столе
мыть пр1| моем  письменном столе
запереть вн| запер  диадему  в  свой личный сейф
держать вн| держать диадему
мочь дт| мог ему
придерживаться рд| того  же  взгляда  придерживалась
умереть дт| тому назад умер
отказывать дт| отказывала ему
подавать дт| подававшая нам
заинтриговать тв| заинтригованные  моим  рассказом
посмотреть вн| посмотреть знаменитую диадему
подойти тв| К нему подойдет любой
придать дт| придал значения его  словам
вынести рд| вынесу  такого позора
раздобыть тв| раздобыть их иным способом
брать вн| Обычно  эту обязанность берет на себя
способствовать дт| способствовало крепкому сну
выронить вн| выронил диадему
хватать рд| хватало  золотого  зубца
сломать вн| Сломать такую  вещь
вызвать вн| вызвать полицию
предъявить дт| предъявить  ему
дать тв| дашь  им
потрясти вн| потрясет всю нацию
вызвать рд| бериллов вызовет огромный скандал
усугубить вн| усугубит твою вину
отправить тв| утром его отправили в тюрьму
смочь пр| смогут  чем-
потерять вн| потерял честь, состояние и сына в одну
видеть вн| собственными  глазами  видел  диадему в руках
отломать рд| отломанного зубца
уравновесить дт| удивительно  уравновешенному  уму
сорвать тв| превосходным  средством  сорвать
ненавидеть тв| ненавидевший  своей  цыганской  душой
увлечён тв| увлечен расследованием преступлений
признан тв| официальной  полицией  были  признаны
выполнить дт| выполненном им
выполнить рд| выполненном им
выполнить тв| выполненном им
временить рд| времени  моего  сватовства
промелькнуть тв| силуэтом промелькнула
заложить вн| заложив за спину
навеять тв| навеянные наркотиками
почтить рд| почти параллельных царапин
почесть рд| почти параллельных царапин
закуривать вн| закуривая папиросу
обосновывать вн| к  своей  теории,  вместо  того  чтобы  обосновывать  теорию
подражать дт| подражать приемам моего друга
